cgl_locus,cg_locus,gene_name,product
Cgl1673,cg1883,,Uncharacterized BCR
Cgl2773,cg3071,pyrE,Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)
Cgl2487,cg2734,pncA,nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase)
Cgl0600,cg0696,sigD,"DNA-directed RNA polymerase specialized sigma subunits, sigma24 homologs"
Cgl0721,cg0828,,Dihydrofolate reductase
Cgl1020,cg1158,,DUF4245 domain-containing protein
Cgl0956,cg1092,,Excalibur calcium-binding domain-containing protein
Cgl2199,cg2413,cobU,Adenosylcobinamide kinase (EC 2.7.1.156) (EC 2.7.7.62) (Adenosylcobinamide-phosphate guanylyltransferase)
Cgl2612,cg2894,,Transcriptional regulator
Cgl1826,cg2047,,Secreted protein
Cgl1170,cg1322,,Uncharacterized BCR
Cgl2914,cg3223,,Predicted flavoprotein
Cgl0303,cg0365,,Type II secretion system protein GspF domain-containing protein
Cgl1654,cg1862,apt,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
Cgl0294,cg0354,,Thiol-disulfide isomerase and thioredoxins
Cgl1014,cg1150,,Predicted flavoprotein
Cgl1378,cg1563,infC,Translation initiation factor IF-3
Cgl2332,cg2561,thiX,Thiamine biosynthesis protein X
Cgl2559,cg2830,pduO,"Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase)"
Cgl1958,cg2147,,Biotin transporter
Cgl2137,cg2345,,Secreted protein
Cgl2504,cg3298,tnp19a(ISCg19a),DDE domain-containing protein
Cgl2504,cg2757,tnp15a(ISCg15a),DDE domain-containing protein
Cgl1829,cg2050,,Uncharacterized protein
Cgl3009,cg3337,,Hypothetical membrane protein
Cgl2735,cg3030,,Alpha/beta hydrolase
Cgl0849,cg0971,,Uncharacterized membrane-associated protein
Cgl2217,cg2432,,NTP pyrophosphohydrolases including oxidative damage repair enzymes
Cgl2839,cg3142,,Hypothetical membrane protein
Cgl2342,cg2572,,Type II toxin-antitoxin system PemK/MazF family toxin
Cgl1474,cg1665,,Secreted protein
Cgl1508,cg1702,,DUF4287 domain-containing protein
Cgl2382,cg2615,vanR,Predicted transcriptional regulators
Cgl0432,cg0513,,Hypothetical membrane protein
Cgl1938,cg2124,,Bacterial transcription activator effector binding domain-containing protein
Cgl2695,cg2983,folE,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)
Cgl1316,cg1488,leuD,3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
Cgl0199,cg0247,,Glyoxalase-like domain-containing protein
Cgl0939,cg1072,rplY,Large ribosomal subunit protein bL25 (50S ribosomal protein L25) (General stress protein CTC)
Cgl1071,cg1219,,Uncharacterized BCR
Cgl0484,cg0571,,SIMPL domain-containing protein
Cgl1404,cg1591,,Secreted protein
Cgl2192,cg2406,ctaE,Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III)
