cgl_locus,cg_locus,gene_name,product
Cgl2580,cg2851,,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase (EC 2.6.1.42)
Cgl1143,cg1294,,Predicted esterase of the alpha-beta hydrolase superfamily
Cgl2090,cg2292,lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (EC 2.5.1.145)
Cgl3097,cg3429,,Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)
Cgl0027,cg0041,,"ABC-type transporter, periplasmic component"
Cgl0917,cg1046,pvdS1,Putative GDP-polyphosphate phosphotransferase PKK2A (EC 2.7.4.-)
Cgl1668,cg1877,,Lauroyl/myristoyl acyltransferase involved in lipid A biosynthesis
Cgl2185,cg2399,glk,Glucokinase (EC 2.7.1.2) (Glucose kinase)
Cgl1253,cg1412,,"ABC-type transporter, permease components"
Cgl1322,cg1494,,DUF3515 domain-containing protein
Cgl1447,cg1638,,3-methyladenine DNA glycosylase
Cgl1612,cg1816,pyrB,Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
Cgl2911,cg3219,ldh,L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)
Cgl1600,cg1803,fmt,Methionyl-tRNA formyltransferase (EC 2.1.2.9)
Cgl1977,cg2168,iunH2,Inosine-uridine nucleoside N-ribohydrolase
Cgl2653,cg2938,,"ABC-type transporter, permease components"
Cgl1088,cg1238,,Uncharacterized BCR
Cgl1932,cg2116,,Fructose-1-phosphate kinase and related fructose-6-phosphate kinase (PfkB) (EC 2.7.1.56)
Cgl2719,cg3014,,Uncharacterized protein
Cgl3068,cg3397,,GIY-YIG domain-containing protein
Cgl0375,cg0450,,Winged helix DNA-binding domain-containing protein
Cgl1334,cg1506,,Predicted membrane protein
Cgl2171,cg2383,metF,Methylenetetrahydrofolate reductase (EC 1.5.1.54)
Cgl0763,cg0872,,Predicted GTPases
Cgl2292,cg2517,hemN,Heme chaperone HemW
Cgl0729,cg0835,msiK2,"ABC-type transporter, ATPase component"
Cgl1517,cg1712,lppL,Prolipoprotein LppL
Cgl0777,cg0887,,"Kef-type K+ transport systems, predicted NAD-binding component"
Cgl2110,cg2313,idhA3,Predicted dehydrogenases and related proteins (EC 1.1.1.18)
Cgl2586,cg2860,,Acyl-CoA hydrolase
Cgl0301,cg0363,,"Predicted ATPases involved in pili and flagella biosynthesis, VirB11 family"
Cgl0300,cg0362,,Septum site determining protein
Cgl2750,cg3045,,"ABC-type amino acid transport system, periplasmic component"
Cgl2902,cg3210,,Probable cell wall biosynthesis protein LcpB
Cgl2311,cg2538,,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases (EC 1.14.14.3)"
Cgl2753,cg3048,pta,Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)
Cgl0021,cg0029,,Zn-dependent protease with chaperone function
Cgl1320,cg1492,gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)(+)-dependent glycerol-3-phosphate dehydrogenase) (NAD(P)H-dependent dihydroxyacetone-phosphate reductase)
Cgl1588,cg1791,gap,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)
Cgl1714,cg1930,,Peptidase S1 domain-containing protein
Cgl2002,cg2193,,Serine aminopeptidase S33 domain-containing protein
Cgl0431,cg0512,hemB,Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)
Cgl0936,cg1068,spiA,Propionate 3-nitronate monooxygenase
Cgl0601,cg0697,,Anti-sigma-D factor RsdA sigma factor binding region domain-containing protein
Cgl0015,cg0018,,UPF0324 membrane protein Cgl0015/cg0018
Cgl1250,cg1409,pfkA,ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)
Cgl1925,cg2109,oxyR,Probable hydrogen peroxide-inducible genes activator
Cgl2944,cg3256,,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases"
Cgl0170,cg0210,,Transcriptional regulators
Cgl1470,cg1661,,Arsenite efflux pump ACR3 and related permeases
Cgl2146,cg2357,,Predicted transcriptional regulators
Cgl3062,cg3391,idhA1,Predicted dehydrogenases and related proteins (EC 1.1.1.18)
Cgl2254,cg2472,,Predicted hydrolases or acyltransferases (Alpha/beta hydrolase superfamily)
Cgl1567,cg1767,,"ABC-type transporter, ATPase component"
Cgl1590,cg1793,,Putative gluconeogenesis factor
Cgl2757,cg3052,,Uncharacterized protein
Cgl0327,cg0396,,Predicted glycosyltransferases
Cgl1367,cg1547,ccpA1(uriR),Transcriptional regulators
Cgl1589,cg1792,whiA,Probable cell division protein WhiA
Cgl2114,cg2318,,"ABC-type transporter, periplasmic component"
Cgl1323,cg1495,thiL,Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)
Cgl1987,cg2178,nusA,Transcription termination/antitermination protein NusA
Cgl2525,cg2781,nrdF,Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1)
Cgl1258,cg1419,,Predicted Na+-dependent transporter
Cgl2574,cg2845,pstC,Phosphate transport system permease protein
Cgl1286,cg1453,leuB,3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)
Cgl1947,cg2133,,Acetyltransferase
Cgl0252,cg0307,asd,Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)
Cgl0354,cg0424,,Glycosyltransferases involved in cell wall biogenesis
Cgl2113,cg2317,,"ABC-type transporter, permease components"
Cgl2380,cg2613,mdh,Malate dehydrogenase (EC 1.1.1.37)
Cgl1921,cg2104,galE,UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)
Cgl1919,cg2102,sigB,RNA polymerase sigma factor
Cgl1983,cg2174,,Exopolyphosphatase-related proteins
Cgl2140,cg2348,,"ABC-type transporter, periplasmic component"
Cgl2740,cg3035,,Histone acetyltransferase HPA2 and related acetyltransferases
Cgl0810,cg0924,,"ABC-type transporter, periplasmic component"
Cgl2537,cg2795,,NADPH:quinone reductase and related Zn-dependent oxidoreductases (EC 1.1.1.1)
Cgl2119,cg2324,,Uncharacterized BCR
Cgl0524,cg0611,,SGNH hydrolase-type esterase domain-containing protein
Cgl0501,cg0590,,"ABC-type transporter, permease components"
Cgl0311,cg0375,cyaB,"Adenylate cyclase, family 3 (Some proteins contain HAMP domain) (EC 4.6.1.1)"
Cgl1410,cg1598,,Predicted sugar phosphatases of the HAD superfamily
Cgl0179,cg0221,,Transcriptional regulators
Cgl0359,cg0432,,Predicted acyltransferases
Cgl0811,cg0926,,"ABC-type transporter, permease components"
Cgl0072,cg0095,bioB,Biotin synthase (EC 2.8.1.6)
Cgl1193,cg1348,,Uncharacterized CBS domain-containing proteins
Cgl0158,cg0197,iolC,"Sugar kinases, ribokinase family (EC 2.7.1.4)"
Cgl1946,,,Hypothetical membrane protein
Cgl2353,cg2585,,PE-PPE domain-containing protein
Cgl0594,cg0687,gcp,tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)
Cgl0502,cg0591,,"ABC-type transporter, permease components"
Cgl0661,cg0763,mdh2,Malate/L-lactate dehydrogenases (EC 1.1.1.82)
Cgl1597,cg1800,ribG,Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]
Cgl0237,cg0291,,Intradiol ring-cleavage dioxygenases domain-containing protein
Cgl0037,cg0051,,AraC-type DNA-binding domain-containing proteins
Cgl1569,cg1769,ctaA,Uncharacterized protein required for cytochrome oxidase assembly
Cgl0194,cg0242,,Uncharacterized protein
Cgl0172,cg0212,,Sugar phosphate isomerases/epimerases
Cgl0676,cg0778,,"ABC-type transporter, permease components"
Cgl0031,cg0045,,"ABC-type transporter, permease components"
Cgl2878,cg3186,cmt2,Cmt2 (Predicted esterase)
Cgl0725,cg0832,,"ABC-type transporter, permease components"
Cgl0677,cg0779,trpS,Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)
Cgl1394,cg1580,argC,N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)
Cgl0346,cg0416,,Uncharacterized protein
Cgl1241,cg1398,,Methionine synthase
Cgl0668,cg0770,,"ABC-type transporter, permease components"
Cgl1992,cg2183,,"ABC-type transporter, permease components"
Cgl0353,cg0423,murB,UDP-N-acetylenolpyruvoylglucosamine reductase 1 (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase 1)
Cgl0442,cg0524,ccsB,"ABC-type transport system involved in cytochrome c biogenesis, permease component"
Cgl0919,cg1049,,3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)
Cgl0218,cg0267,pat,Probable phenylalanine aminotransferase (EC 2.6.1.-)
Cgl1978,cg2169,ribF,Riboflavin biosynthesis protein [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]
Cgl2257,cg2475,,Phosphatidate phosphatase APP1 catalytic domain-containing protein
Cgl2807,cg3107,adhA,alcohol dehydrogenase (EC 1.1.1.1)
Cgl2122,cg2329,,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases (EC 1.14.14.3)"
Cgl3032,cg3361,trpD,Anthranilate phosphoribosyltransferase (EC 2.4.2.18)
Cgl2288,cg2513,phoH2,PhoH-like protein
Cgl0390,cg0468,,"ABC-type transporter, permease components"
Cgl2195,cg2409,ctaC,Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome aa3 subunit 2) (Cytochrome c oxidase polypeptide II) (Oxidase aa(3) subunit 2)
Cgl1016,cg1152,ssiF,Acyl-CoA dehydrogenases
Cgl1667,cg1876,,Predicted glycosyltransferases (EC 2.4.1.-)
Cgl1528,cg1724,,Periplasmic protein kinase ArgK and related GTPases of G3E family (EC 2.7.-.-)
Cgl0342,cg0412,,Hypothetical membrane protein
Cgl2161,cg2372,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)
Cgl1109,cg1260,dapE,Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18)
Cgl1642,cg1848,,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases"
Cgl0061,cg0080,,Mg2+ and Co2+ transporters
Cgl0742,cg0849,rmlA2,Nucleoside-diphosphate-sugar pyrophosphorylases involved in lipopolysaccharide biosynthesis/translation initiation factor eIF2B subunits (EC 2.7.7.13)
Cgl1266,cg1429,,Hypothetical membrane protein
Cgl2952,cg3267,,Oxidoreductase molybdopterin-binding domain-containing protein
Cgl3060,cg3389,,Predicted dehydrogenases and related proteins
Cgl1321,cg1493,ddlA,D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)
Cgl2427,cg2664,,Predicted type IV restriction endonuclease
Cgl1620,cg1826,pepQ,Xaa-Pro aminopeptidase
Cgl0343,cg0413,cmt1,Cmt1
Cgl0990,cg1129,aroF,Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)
Cgl1251,cg1410,rbsR,Transcriptional regulators
Cgl1681,cg1896,,Uncharacterized protein
Cgl2401,cg2635,catB,O-succinylbenzoate synthase and related enzymes (EC 5.5.1.1)
Cgl2187,cg2401,,Cell wall-associated hydrolases (Invasion-associated proteins)
Cgl2121,cg2328,,Uncharacterized protein
Cgl2858,cg3163,,Predicted acyltransferases (EC 2.3.1.-)
Cgl0932,cg1064,,"ABC-type transporter, permease components"
Cgl1660,cg1869,ruvB,Holliday junction branch migration complex subunit RuvB (EC 3.6.4.-)
Cgl2819,cg3120,,Uncharacterized BCR
Cgl1776,cg1996,cglIM,Cytosine-specific methyltransferase (EC 2.1.1.37)
Cgl1240,cg1397,,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)
Cgl0397,cg0476,murB2,UDP-N-acetylenolpyruvoylglucosamine reductase 2 (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase 2)
Cgl2356,cg2588,proB,Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)
Cgl1792,cg2011,,Hypothetical membrane protein
Cgl3076,cg3405,,NADPH:quinone reductase and related Zn-dependent oxidoreductases
Cgl0839,cg0961,,Probable esterase Cgl0839 (EC 3.1.1.-) (HAT-like esterase) (cgHle)
Cgl1287,cg1454,,"ABC-type nitrate/sulfonate/taurine/bicarbonate transport systems, periplasmic components"
Cgl2654,cg2939,,"ABC-type transporter, ATPase component"
Cgl0389,cg0467,,"ABC-type transporter, periplasmic component"
Cgl2039,cg2237,thiO,Glycine/D-amino acid oxidases (Deaminating)
Cgl2868,cg3175,,Predicted integral membrane protein
Cgl1926,cg2110,,Hypothetical membrane protein
Cgl1621,cg1827,aroB,3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)
Cgl1997,cg2188,,Mg-chelatase subunit ChlI
Cgl1690,cg1905,,Aminoglycoside phosphotransferase domain-containing protein
Cgl2172,cg2384,idsA,Geranylgeranyl pyrophosphate synthase (EC 2.5.1.1)
Cgl2575,cg2846,pstS,Phosphate-binding protein
Cgl0473,cg0559,ispB,Geranylgeranyl pyrophosphate synthase (EC 2.5.1.30)
Cgl2756,cg3051,,Uncharacterized protein
Cgl0534,cg0624,,Hypothetical membrane protein
Cgl1264,cg1426,,Predicted glutathione S-transferase
Cgl0208,cg0257,,Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2
Cgl0692,cg0794,,GTPases (G3E family)
Cgl2304,cg2530,treX,"Uncharacterized protein, probably involved in trehalose biosynthesis"
Cgl2150,cg2361,,Cell wall synthesis protein Wag31 (Antigen 84)
Cgl2581,cg2852,,Predicted aminomethyltransferase related to GcvT
Cgl1521,cg1716,tnp16b(ISCg16b),Transposase
Cgl2895,cg3203,,Septum formation-related domain-containing protein
Cgl2790,cg3090,,HTH iclR-type domain-containing protein
Cgl0783,cg0893,,endopeptidase La (EC 3.4.21.53)
Cgl0791,cg0901,,Trypsin
Cgl1200,cg1355,prfA,Peptide chain release factor 1 (RF-1)
Cgl0247,cg0302,,DNA polymerase III epsilon subunit and related 3'-5' exonucleases
Cgl0588,cg0681,alr,Alanine racemase (EC 5.1.1.1)
Cgl1582,cg1784,ocd,"Predicted ornithine cyclodeaminase, mu-crystallin homolog"
Cgl2996,cg3323,,Inositol-3-phosphate synthase (MIP synthase) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (IPS) (MI-1-P synthase)
Cgl1362,cg1540,,Uncharacterized protein
Cgl1103,cg1253,,PLP-dependent aminotransferases (EC 2.6.1.1)
Cgl3041,cg3370,,"NADH:flavin oxidoreductases, Old Yellow Enzyme family (EC 1.-.-.-)"
Cgl1518,cg1713,pyrD,Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)
Cgl1292,cg1462,entC,isochorismate synthase (EC 5.4.4.2) (Isochorismate mutase)
Cgl1082,cg1231,chaA,Ca2+/H+ antiporter
Cgl0130,cg0166,,Ankyrin repeat proteins
Cgl2583,cg2856,purM,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)
Cgl0262,cg0318,arsC1,Arsenite efflux pump ACR3 and related permeases
Cgl0678,cg0780,,tRNA-processing ribonuclease BN
Cgl2388,cg2621,,Uncharacterized protein
Cgl3057,cg3386,tcbF,Alcohol dehydrogenase IV (EC 1.3.1.32)
Cgl2020,cg2214,,Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)
Cgl0319,cg0387,adhE,"Zn-dependent alcohol dehydrogenases, class III (EC 1.2.1.-)"
Cgl0766,cg0875,,HNH domain-containing protein
Cgl2396,cg2629,pcaB1,Adenylosuccinate lyase (EC 5.5.1.2)
Cgl1955,cg2141,recA,Protein RecA (Recombinase A)
Cgl1461,cg1652,pctA,"ABC-type transporter, periplasmic component"
Cgl0937,cg1069,gapX,Glyceraldehyde-3-phosphate dehydrogenase
Cgl2627,cg2910,ipsA,HTH-type transcriptional regulator IpsA
Cgl0636,cg0736,,Methionine import ATP-binding protein MetN (EC 7.4.2.11)
Cgl1032,cg1171,,Ribosome-binding ATPase YchF
Cgl3065,cg3394,,Uncharacterized protein
Cgl2200,cg2414,cobT,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)
Cgl2101,cg2304,hisC,Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)
Cgl2230,cg2449,,DUF2786 domain-containing protein
Cgl1537,cg1734,hemH,Coproporphyrin III ferrochelatase (EC 4.99.1.9)
Cgl2663,cg2948,cgtS5,histidine kinase (EC 2.7.13.3)
Cgl2383,cg2616,vanA,Ferredoxin subunits of nitrite reductase and ring-hydroxylating dioxygenases
Cgl2736,cg3031,,Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2)
Cgl2238,cg2457,,GTP cyclohydrolase 1 type 2 homolog
Cgl2570,cg2841,,tRNA-dihydrouridine synthase (EC 1.3.1.-)
Cgl3001,cg3329,,3'-phosphate/5'-hydroxy nucleic acid ligase (EC 6.5.1.8)
Cgl2446,cg2687,metB,Cystathionine beta-lyases/cystathionine gamma-synthases (EC 2.5.1.48)
Cgl0889,cg1012,,Glycosidases (EC 3.2.1.54)
Cgl1510,cg1705,arsC2,Arsenical-resistance protein Acr3
Cgl2470,cg2715,,"Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein (P2TMN nickel insertion protein) (EC 4.99.1.12) (Nickel-pincer cofactor biosynthesis protein LarC)"
Cgl2183,cg2397,,Hypothetical membrane protein
Cgl2759,cg3054,purT,Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)
Cgl2888,cg3196,glf,UDP-galactopyranose mutase (EC 5.4.99.9)
Cgl0814,cg0931,,PLP-dependent aminotransferases (EC 2.6.1.7)
Cgl1232,cg1388,nifS1,Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes
Cgl2609,cg2890,,D-serine dehydratase-like domain-containing protein
Cgl2900,cg3208,,amidase (EC 3.5.1.4)
Cgl2010,cg2201,,"Two-component system, sensory transduction histidine kinases"
Cgl2838,cg3141,hmp,nitric oxide dioxygenase (EC 1.14.12.17)
Cgl2769,cg3067,,Uncharacterized protein Cgl2769/cg3067
Cgl1563,cg1763,sufD,Predicted membrane components of an uncharacterized iron-regulated ABC-type transporter SufB
Cgl2496,cg2746,,Regulator of polyketide synthase expression
Cgl0497,cg0587,tuf,Elongation factor Tu (EF-Tu)
Cgl2964,cg3284,cgtS9,histidine kinase (EC 2.7.13.3)
Cgl1672,cg1881,,Predicted iron-dependent peroxidase
Cgl0921,cg1051,,Uncharacterized protein
Cgl2463,cg2708,,"ABC-type transporter, ATPase component"
Cgl2763,cg3060,cgtS6,"Two-component system, sensory transduction histidine kinases"
Cgl0533,cg0623,,"ABC-type transporter, permease components"
Cgl2428,cg2665,,Uncharacterized protein
Cgl0896,cg1020,,Cupin type-2 domain-containing protein
Cgl2784,cg3084,,Predicted flavoprotein involved in K+ transport
Cgl3007,cg3335,mez,Malic enzyme (EC 1.1.1.40)
Cgl1556,cg1756,nanH,exo-alpha-sialidase (EC 3.2.1.18)
Cgl1827,cg2049,,Uncharacterized protein
Cgl1017,cg1153,ssiG,Acyl-CoA dehydrogenases
Cgl2432,cg2670,crtI',Phytoene dehydrogenase and related proteins (EC 1.3.-.-)
Cgl2015,cg2207,,Zinc metalloprotease Rip1 (S2P endopeptidase) (Site-2-type intramembrane protease)
Cgl0334,cg0403,rmlB1,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
Cgl0044,cg0061,rodA,Bacterial cell division membrane protein
Cgl0626,cg0723,crtE,Geranylgeranyl pyrophosphate synthase
Cgl2645,cg2929,nagA1,N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
Cgl0350,cg0420,,Predicted glycosyltransferases
Cgl1166,cg1318,,DNA repair exonuclease (EC 3.1.-.-)
Cgl0004,cg0005,recF,DNA replication and repair protein RecF
Cgl0003,cg0004,dnaN,Beta sliding clamp
Cgl2752,cg3047,ackA,Acetate kinase (EC 2.7.2.1) (Acetokinase)
Cgl0770,cg0880,,Secreted protein
Cgl1787,cg2006,,DUF559 domain-containing protein
Cgl1118,cg1269,,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)
Cgl1197,cg1352,moaA,"GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)"
Cgl0121,cg0156,cysR,Transcriptional regulators
Cgl1234,cg1391,,Uncharacterized protein related to capsule biosynthesis enzymes
Cgl3094,cg3426,parB,Predicted transcriptional regulators
Cgl1395,cg1581,argJ,Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]
Cgl1397,cg1583,argD,Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)
Cgl0535,cg0625,,Uncharacterized protein
Cgl1077,cg1226,pobB,2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases (EC 1.14.13.2)
Cgl0296,cg0356,,"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain"
Cgl2103,cg2306,,YbjN domain-containing protein
Cgl2475,cg2720,,"Putative L,D-transpeptidase LppS (EC 2.3.2.-) (Putative lipoprotein LppS)"
Cgl1587,cg1790,pgk,Phosphoglycerate kinase (EC 2.7.2.3)
Cgl0652,cg0754,metX,Homoserine O-acetyltransferase (HAT) (EC 2.3.1.31) (Homoserine transacetylase) (HTA)
Cgl1220,cg1376,ssuD1,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases (EC 1.1.-.-)"
Cgl2786,cg3086,,Cystathionine beta-lyases/cystathionine gamma-synthases (EC 2.5.1.48)
Cgl0951,cg1086,,tRNA-processing ribonuclease BN
Cgl1439,cg1628,,Hydrolases of the alpha/beta superfamily
Cgl0850,cg0972,,Cyanate permease
Cgl0748,cg0856,manA,mannose-6-phosphate isomerase (EC 5.3.1.8)
