Entry	Gene Names	Gene Names (ordered locus)	Protein names
P40110	dapB Cgl1973 cg2163	Cgl1973 cg2163	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)
P40111	thyX Cgl1972 cg2162	Cgl1972 cg2162	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)
P46395	bioA Cgl2604 cg2885	Cgl2604 cg2885	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)
P46396	bioB Cgl0072 cg0095	Cgl0072 cg0095	Biotin synthase (EC 2.8.1.6)
P53532	clpB Cgl2780 cg3079	Cgl2780 cg3079	Chaperone protein ClpB
P94632	lysG Cgl1263 cg1425	Cgl1263 cg1425	Lysine export transcriptional regulatory protein LysG
Q46065	aroP Cgl1107 cg1257	Cgl1107 cg1257	Aromatic amino acid transport protein AroP (General aromatic amino acid permease)
Q59281	argB Cgl1396 cg1582	Cgl1396 cg1582	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)
Q59282	argD Cgl1397 cg1583	Cgl1397 cg1583	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)
Q6M2E8	tilS Cgl2698 cg2986	Cgl2698 cg2986	tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)
Q6M7C6	dnaE2 Cgl0638 cg0738	Cgl0638 cg0738	Error-prone DNA polymerase (EC 2.7.7.7)
Q79VE2	glnE Cgl2228 cg2446	Cgl2228 cg2446	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme (ATP:glutamine synthetase adenylyltransferase) (ATase) [Includes: Glutamine synthetase adenylyl-L-tyrosine phosphorylase (EC 2.7.7.89) (Adenylyl removase) (AR) (AT-N); Glutamine synthetase adenylyl transferase (EC 2.7.7.42) (Adenylyl transferase) (AT) (AT-C)]
Q8NLP6	serS Cgl2893 cg3201	Cgl2893 cg3201	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)
Q8NLQ9	cg3189 Cgl2880	cg3189 Cgl2880	Decaprenyl-phosphate phosphoribosyltransferase (EC 2.4.2.45) (5-phospho-alpha-D-ribose-1-diphosphate:decaprenyl-phosphate 5-phosphoribosyltransferase) (DPPR synthase)
Q8NLR5	Cgl2873	Cgl2873	Carboxylesterase Culp6 homolog (EC 3.1.1.-)
Q8NM11	pyrE Cgl2773 cg3071	Cgl2773 cg3071	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)
Q8NM64	groEL2 groL2 Cgl2716 cg3011	Cgl2716 cg3011	Chaperonin GroEL 2 (EC 5.6.1.7) (60 kDa chaperonin 2) (Chaperonin-60 2) (Cpn60 2)
Q8NM84	folE Cgl2695 cg2983	Cgl2695 cg2983	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)
Q8NMB9	ispF Cgl2659 cg2944	Cgl2659 cg2944	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)
Q8NMK7	sucC Cgl2566 cg2837	Cgl2566 cg2837	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)
Q8NN57	nadD Cgl2352 cg2584	Cgl2352 cg2584	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)
Q8NNC1	uppS2 Cgl2283 cg2508	Cgl2283 cg2508	Isoprenyl transferase 2 (EC 2.5.1.-)
Q8NNJ7	cobS Cgl2201 cg2415	Cgl2201 cg2415	Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)
Q8NNV6	rnc Cgl2074 cg2273	Cgl2074 cg2273	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)
